#separator:tab
#html:true
Wofür werden verteilte Systeme genutzt?	<div id='extra'>Zur Realisierung von Innovationen mit komplexen Anwendungen und Diensten</div>
Was ist multidimensionale Konsistenz?	<div id='extra'>Multidimensionale Konsistenz bedeutet, dass die Ergebnisse in verschiedenen Dimensionen konsistent sein sollten.</div>
Warum ist multidimensionale Konsistenz wichtig?	<div id='extra'>Multidimensionale Konsistenz ist wichtig, um sicherzustellen, dass die Ergebnisse einer Analyse plausibel und vertrauenswürdig sind.</div>
Was ist das CAP-Theorem?	<div id='extra'>Das CAP-Theorem besagt, dass es in einem verteilten System unmöglich ist, gleichzeitig Konsistenz, Verfügbarkeit und Partitionstoleranz zu gewährleisten.</div>
Was bedeutet Konsistenz im Kontext des CAP-Theorems?	<div id='extra'>Im Kontext des CAP-Theorems bezieht sich Konsistenz darauf, dass alle Knoten im verteilten System jederzeit dieselben Daten sehen und Änderungen von allen Knoten akzeptiert werden.</div>
Warum ist das CAP-Theorem wichtig für die Gestaltung von verteilten Systemen?	<div id='extra'>Das CAP-Theorem hilft Entwicklern dabei, die Grenzen ihrer Systeme zu verstehen und Entscheidungen darüber zu treffen, welche Eigenschaften am wichtigsten sind.</div>
Was ist ein Konsistenzmodell?	<div id='extra'>Ein Konsistenzmodell ist ein Konzept in der Informatik, das beschreibt, wie Daten in einem verteilten System konsistent gehalten werden können.</div>
Was sind sequentielle Konsistenzmodelle?	<div id='extra'>Sequentielle Konsistenzmodelle stellen sicher, dass alle Knoten im verteilten System dieselbe Reihenfolge von Operationen sehen.</div>
Was sind kausale Konsistenzmodelle?	<div id='extra'>Kausale Konsistenzmodelle stellen sicher, dass alle Knoten im verteilten System eine kausale Beziehung zwischen Operationen erkennen und dass die Reihenfolge der Operationen innerhalb dieser Beziehungen beibehalten wird.</div>
Was ist atomare Konsistenz?	<div id='extra'>Atomare Konsistenz, auch als Linearizability bezeichnet, ist ein strenges Konsistenzmodell in verteilten Systemen, bei dem jede Operation so aussieht, als ob sie sofort und in einer atomaren Weise auf alle Knoten im System angewendet wird.</div>
Was stellt Linearizability sicher?	<div id='extra'>Linearizability stellt sicher, dass es eine globale Reihenfolge für alle Operationen gibt und dass diese Reihenfolge den Echtzeit-Verlauf der Operationen widerspiegelt.</div>
Wann wird atomare Konsistenz in verteilten Systemen verwendet?	<div id='extra'>Atomare Konsistenz wird in verteilten Systemen verwendet, bei denen eine strikte oder kausale Konsistenz erforderlich ist und die Leistungseinbußen in Kauf genommen werden können.</div>
Was ist sequentielle Konsistenz?	<div id='extra'>Sequentielle Konsistenz ist ein Konsistenzmodell in verteilten Systemen, bei dem die Operationen in einer Reihenfolge ausgeführt werden, die für alle Knoten gleich ist.</div>
Wie wird sequentielle Konsistenz veranschaulicht?	<div id='extra'>Sequentielle Konsistenz kann anhand eines verteilten Systems mit einem gemeinsamen Zähler veranschaulicht werden, bei dem die Operationen zum Inkrementieren des Zählers in einer globalen Reihenfolge ausgeführt werden.</div>
Was ist der Unterschied zwischen atomarer und sequentieller Konsistenz?	<div id='extra'>Der Hauptunterschied zwischen atomarer und sequentieller Konsistenz besteht darin, dass atomare Konsistenz eine globale Reihenfolge für alle Operationen erzwingt, während sequentielle Konsistenz nur eine globale Reihenfolge für Operationen innerhalb eines bestimmten Knotens erzwingt.</div>
Was ist kausale Konsistenz?	<div id='extra'>Kausale Konsistenz ist ein Konsistenzmodell in verteilten Systemen, bei dem die Reihenfolge der Operationen innerhalb einer kausalen Beziehung beibehalten wird, aber unabhängige Operationen in unterschiedlicher Reihenfolge ausgeführt werden können.</div>
Was ist eine kausale Beziehung zwischen Operationen?	<div id='extra'>Eine kausale Beziehung zwischen Operationen besteht, wenn die Ausführung einer Operation die Ausführung einer anderen Operation beeinflusst oder von ihr beeinflusst wird.</div>
Wann wird kausale Konsistenz in verteilten Systemen verwendet?	<div id='extra'>Kausale Konsistenz wird in verteilten Systemen verwendet, bei denen eine strikte oder sequentielle Konsistenz nicht erforderlich ist und die Leistungseinbußen minimiert werden sollen.</div>
Was ist gelegentliche Konsistenz?	<div id='extra'>Gelegentliche Konsistenz ist ein Konsistenzmodell in verteilten Systemen, bei dem die Konsistenz nicht unbedingt sofort nach jeder Operation gewährleistet wird, sondern nur periodisch oder bei Bedarf.</div>
Wann wird gelegentliche Konsistenz in verteilten Systemen verwendet?	<div id='extra'>Gelegentliche Konsistenz wird in verteilten Systemen verwendet, bei denen eine hohe Leistung wichtiger ist als eine sofortige und vollständige Konsistenz.</div>
Was sind die Vor- und Nachteile von gelegentlicher Konsistenz?	<div id='extra'>Der Vorteil von gelegentlicher Konsistenz besteht darin, dass sie eine höhere Leistung ermöglicht und weniger Netzwerkverkehr erzeugt. Der Nachteil besteht darin, dass es zu Inkonsistenzen kommen kann, wenn mehrere Knoten gleichzeitig auf dieselben Daten zugreifen und Änderungen vornehmen.</div>
Was ist Monotonic Reads?	<div id='extra'>Monotonic Reads ist ein client-zentrisches Konsistenzmodell in verteilten Systemen, das sicherstellt, dass ein Client niemals ältere Daten als die zuvor gelesenen erhält.</div>
Wie funktioniert Monotonic Reads?	<div id='extra'>Sobald ein Client eine bestimmte Version der Daten gelesen hat, werden alle nachfolgenden Lesevorgänge des Clients Daten liefern, die gleich oder neuer als die zuvor gelesene Version sind.</div>
Wofür wird Monotonic Reads in verteilten Systemen verwendet?	<div id='extra'>Monotonic Reads wird in verteilten Systemen verwendet, bei denen es wichtig ist, dass ein Client immer die aktuellsten Daten erhält und Inkonsistenzen aufgrund von veralteten Daten vermieden werden sollen. Ein Beispiel dafür ist ein verteiltes E-Commerce-System, bei dem Benutzer den Lagerbestand von Artikeln abfragen können.</div>
Was ist Monotonic Writes?	<div id='extra'>Monotonic Writes ist ein client-zentrisches Konsistenzmodell in verteilten Systemen, das sicherstellt, dass die Schreibvorgänge eines Clients in der Reihenfolge ausgeführt werden, in der sie vom Client eingereicht wurden.</div>
Wie funktioniert Monotonic Writes?	<div id='extra'>Im Gegensatz zu Monotonic Reads, bei dem es um die Konsistenz von Lesevorgängen geht, konzentriert sich Monotonic Writes darauf, die richtige Reihenfolge von Schreibvorgängen beizubehalten, um Inkonsistenzen zu vermeiden, die durch ungeordnete Schreibvorgänge entstehen können.</div>
Wofür wird Monotonic Writes in verteilten Systemen verwendet?	<div id='extra'>Monotonic Writes wird in verteilten Systemen verwendet, bei denen es wichtig ist, dass die Schreibvorgänge eines Clients in der richtigen Reihenfolge ausgeführt werden und Inkonsistenzen aufgrund ungeordneter Schreibvorgänge vermieden werden sollen. Ein Beispiel dafür ist ein verteiltes Datenbanksystem oder eine Anwendung zur Verwaltung verteilter Dateisysteme.</div>
Was ist Read Your Writes?	<div id='extra'>Read Your Writes ist ein client-zentrisches Konsistenzmodell in verteilten Systemen, das sicherstellt, dass ein Client nach einem Schreibvorgang immer die aktuellsten Daten liest.</div>
Wie funktioniert Read Your Writes?	<div id='extra'>Das Modell gewährleistet die Konsistenz der Daten aus der Perspektive eines Clients oder Benutzers, indem es sicherstellt, dass ein Client nach einem Schreibvorgang immer die aktuellsten Daten liest und keine älteren Daten erhält.</div>
Wofür wird Read Your Writes in verteilten Systemen verwendet?	<div id='extra'>Read Your Writes wird in verteilten Systemen verwendet, bei denen es wichtig ist, dass ein Client nach einem Schreibvorgang immer die aktuellsten Daten liest und Inkonsistenzen aufgrund von veralteten Daten vermieden werden sollen. Ein Beispiel dafür ist eine Anwendung zur Verwaltung von Benutzerprofilen oder eine Anwendung zur Verwaltung von Einkaufswagen in einem E-Commerce-System.</div>
Was ist das &quot;Writes follow Reads&quot;-Prinzip?	"<div id='extra'>Das ""Writes follow Reads""-Prinzip ist eine Regel in verteilten Systemen, die besagt, dass nach einer Leseoperation, die von einem bestimmten Knoten ausgeführt wird, alle Schreiboperationen, die von diesem Knoten initiiert werden und sich auf das gleiche Objekt beziehen, die gelesene Version oder eine neuere Version des Objekts berücksichtigen müssen.</div>"
Wie hängt das &quot;Writes follow Reads&quot;-Prinzip mit kausaler Konsistenz zusammen?	"<div id='extra'>Das ""Writes follow Reads""-Prinzip ist eng mit kausaler Konsistenz verbunden, da beide darauf abzielen, kausale Abhängigkeiten zwischen Operationen in verteilten Systemen aufrechtzuerhalten.</div>"
Wofür wird das &quot;Writes follow Reads&quot;-Prinzip in verteilten Systemen verwendet?	"<div id='extra'>Das ""Writes follow Reads""-Prinzip wird in verteilten Systemen verwendet, um sicherzustellen, dass Schreiboperationen nach einer Leseoperation immer die gelesene Version oder eine neuere Version des Objekts berücksichtigen. Dadurch wird sichergestellt, dass kausale Abhängigkeiten zwischen Operationen aufrechterhalten werden und Inkonsistenzen vermieden werden können. Ein Beispiel dafür ist ein verteiltes Datenbanksystem oder eine Anwendung zur Verwaltung verteilter Dateisysteme.</div>"
Was ist Continuous Consistency?	<div id='extra'>Continuous Consistency ist ein Konsistenzmodell in verteilten Systemen, das einen Kompromiss zwischen strikter und lockerer Konsistenz anstrebt.</div>
Wie funktioniert Continuous Consistency?	<div id='extra'>Continuous Consistency verbessert die Konsistenz im Laufe der Zeit, indem inkonsistente Daten erkannt und synchronisiert werden.</div>
Wofür wird Continuous Consistency verwendet?	<div id='extra'>Continuous Consistency wird in verteilten Systemen verwendet, bei denen es wichtig ist, einen Kompromiss zwischen strikter Konsistenz und Verfügbarkeit zu finden. Ein Beispiel dafür ist ein verteiltes Datenbanksystem oder eine Anwendung zur Verwaltung von Echtzeitdaten.</div>
Was ist Fork Consistency?	<div id='extra'>Fork Consistency ist ein Konsistenzmodell in verteilten Systemen, das versucht, die Herausforderungen der strikten Konsistenz zu überwinden, indem es Verzweigungen in den Daten zulässt.</div>
Wie können Entwickler und Systemarchitekten die Herausforderungen der Fork Consistency bewältigen?	<div id='extra'>Entwickler und Systemarchitekten können verschiedene Strategien anwenden, um die Herausforderungen der Fork Consistency zu bewältigen. Eine wichtige Strategie ist die Implementierung einer effizienten und robusten Konfliktlösungsstrategie.</div>
Was sind Merge- oder Reconciliation-Algorithmen?	<div id='extra'>Merge- oder Reconciliation-Algorithmen sind spezielle Algorithmen zur Zusammenführung von Daten in verteilten Systemen. Sie werden verwendet, um Verzweigungen in den Daten zu erkennen und zu lösen, um eine konsistente Sicht auf die Daten zu gewährleisten.</div>
Was ist Multidimensionale Konsistenz?	<div id='extra'>Konzept zur Messung der Übereinstimmung in Daten oder Ergebnissen über verschiedene Dimensionen.</div>
Was bedeutet es, dass die Ergebnisse in verschiedenen Dimensionen konsistent und plausibel sein sollten?	<div id='extra'>Ergebnisse sollten miteinander übereinstimmen und plausibel sein, um eine konsistente Sicht auf die Daten zu gewährleisten.</div>
In welchen Bereichen wird Multidimensionale Konsistenz verwendet?	<div id='extra'>Statistik, maschinelles Lernen, Datenanalyse und verwandte Bereiche.</div>
Was ist Adaptable Consistency?	<div id='extra'>Konzept zur Anpassung von Konsistenzanforderungen an spezifische Bedürfnisse und Anforderungen einer Anwendung oder Situation.</div>
Wie kann Adaptable Consistency in verteilten Systemen eingesetzt werden?	<div id='extra'>Durch Implementierung verschiedener Konsistenzmodelle und -strategien.</div>
Was sind die Vorteile von Adaptable Consistency?	<div id='extra'>Flexibilität zur Optimierung von Leistung und Datenkonsistenz in verteilten Systemen für bessere Skalierbarkeit und Effizienz.</div>
Was ist View Consistency?	<div id='extra'>Konsistenzmodell in verteilten Systemen, um sicherzustellen, dass alle Prozesse oder Knoten eine konsistente Sicht auf Daten haben.</div>
Wie wird View Consistency in einem verteilten Chat-System angewendet?	<div id='extra'>Es stellt sicher, dass alle Benutzer zur gleichen Zeit dieselben Nachrichten sehen.</div>
Wie vergleicht sich View Consistency mit anderen Konsistenzmodellen?	<div id='extra'>Es ist schwächer als Strong Consistency, aber stärker als Eventual Consistency.</div>
Was sind Write-Write-Konflikte?	<div id='extra'>Konflikte, die in verteilten Systemen auftreten können, wenn zwei oder mehr Schreibvorgänge von verschiedenen Clients gleichzeitig auf denselben Datensatz angewendet werden.</div>
Warum sind Write-Write-Konflikte wichtig?	<div id='extra'>Sie können zu Inkonsistenzen führen, wenn die Schreibvorgänge nicht ordnungsgemäß koordiniert und synchronisiert werden.</div>
Wie können Write-Write-Konflikte behandelt werden?	<div id='extra'>Durch Implementierung von Konsistenzstrategien wie Locking, Versioning oder Conflict Resolution.</div>
Was ist eine physikalische Uhr?	<div id='extra'>Ein Gerät oder eine Komponente, die Zeit misst und darstellt, basierend auf einem physikalischen Prozess wie der Schwingung eines Quarzkristalls.</div>
Wie kann eine physikalische Uhr als globale Zeitbasis dienen?	<div id='extra'>Wenn die Uhren selbst synchronisiert sind, kann sie eine Basis für eine gemeinsame Zeitbasis bieten.</div>
Warum ist die Synchronisation von physikalischen Uhren wichtig?	<div id='extra'>Ohne Synchronisation können Abweichungen in den Uhren zu Inkonsistenzen in der Zeitmessung führen, was in verteilten Systemen problematisch sein kann.</div>
Was sind globale Zeitstempel?	<div id='extra'>Ein Synchronisationsmechanismus in verteilten Systemen, der auf einer gemeinsamen Uhr basiert und jedem Ereignis oder jeder Operation einen eindeutigen Zeitstempel zuweist.</div>
Was sind einige Vorteile von globalen Zeitstempeln?	<div id='extra'>Sie ermöglichen die einfache Handhabung von Ereignisreihenfolgen und die Möglichkeit, gleichzeitige Ereignisse leicht zu erkennen.</div>
Warum sind globale Zeitstempel wichtig in verteilten Systemen?	<div id='extra'>Sie helfen dabei, Ereignisse und Operationen in der richtigen Reihenfolge auszuführen und Inkonsistenzen zu vermeiden, die durch asynchrone Abläufe in verteilten Systemen entstehen können.</div>
Was ist das Network Time Protocol (NTP)?	<div id='extra'>Ein Protokoll, das zur Synchronisation von Uhren in verteilten Systemen verwendet wird, indem es die Netzwerkverzögerung und den Offset zwischen verschiedenen Uhren schätzt.</div>
Wie schätzt NTP die Netzwerkverzögerung?	<div id='extra'>NTP verwendet vier Zeitstempel: t1 (lokale Zeit des Clients), t2 (Serverzeit beim Empfang der Anfrage), t3 (Serverzeit beim Senden der Antwort) und t4 (lokale Zeit des Clients beim Empfang der Antwort).</div>
Warum ist die Synchronisation von Uhren wichtig in verteilten Systemen?	<div id='extra'>Die Synchronisation von Uhren ist wichtig, um Inkonsistenzen zu vermeiden, die durch asynchrone Abläufe in verteilten Systemen entstehen können, und um sicherzustellen, dass Ereignisse und Operationen in der richtigen Reihenfolge ausgeführt werden.</div>
Was ist das Precision Time Protocol (PTP)?	<div id='extra'>Ein Protokoll, das speziell für lokale Netzwerke (LANs) entwickelt wurde, um eine präzise Zeitsynchronisation in verteilten Systemen zu erreichen.</div>
Wie erreicht PTP eine präzise Synchronisation?	<div id='extra'>PTP verwendet einen &quot;Grandmaster Clock&quot; sowie &quot;Ordinary Clocks&quot; und &quot;Boundary Clocks&quot;, um eine präzise Synchronisation über das Netzwerk zu erreichen.</div>
Was sind einige Vorteile von PTP im Vergleich zu NTP?	<div id='extra'>PTP ermöglicht eine höhere Genauigkeit in der Zeitsynchronisation als NTP und ist speziell für LANs entwickelt worden, während NTP für allgemeinere Netzwerke geeignet ist.</div>
"Was ist Cristian&#x27;s Algorithm?"	<div id='extra'>Ein Zeit-Synchronisationsprotokoll, das entwickelt wurde, um die Zeitabweichung zwischen einem Zeitserver und einem Client in einem verteilten System zu reduzieren.</div>
"Wie funktioniert Cristian&#x27;s Algorithm?"	<div id='extra'>Der Client sendet eine Anfrage an den Zeitserver, um die aktuelle Zeit zu erfahren. Der Zeitserver empfängt die Anfrage und speichert den aktuellen Zeitstempel T1. Der Zeitserver sendet eine Antwort mit dem Zeitstempel T1 an den Client zurück. Der Client empfängt die Antwort und speichert den aktuellen Zeitstempel T2.</div>
"Was ist der Zweck von Cristian&#x27;s Algorithm?"	"<div id='extra'>Der Zweck von Cristian&#x27;s Algorithm ist es, die Netzwerkverzögerung zwischen einem Client und einem Server zu schätzen und die Uhr des Clients entsprechend anzupassen, um eine präzisere Zeitsynchronisation in verteilten Systemen zu erreichen.</div>"
Was ist der Berkeley-Algorithmus?	<div id='extra'>Ein verteiltes Zeitsynchronisationsprotokoll, das in Netzwerken eingesetzt wird, um die Uhrzeiten von Computern oder anderen Knoten zu synchronisieren.</div>
Wie unterscheidet sich der Berkeley-Algorithmus von anderen Zeitsynchronisationsprotokollen?	<div id='extra'>Der Berkeley-Algorithmus basiert auf einem Master-Slave-Modell und erfordert keine Hierarchie von Zeitservern im Gegensatz zu anderen Protokollen wie dem Network Time Protocol (NTP).</div>
Wo wurde der Berkeley-Algorithmus entwickelt?	<div id='extra'>Der Berkeley-Algorithmus wurde an der University of California, Berkeley entwickelt.</div>
Was ist die Lamport-Uhr?	<div id='extra'>Eine Methode zur Bestimmung der relativen Ordnung von Ereignissen in einem verteilten System.</div>
Wie funktioniert die Lamport-Uhr?	<div id='extra'>Jeder Prozess im System hat eine eigene Uhr, die durch einen Zeitstempel repräsentiert wird. Wenn ein Ereignis auftritt, erhöht der Prozess den Zeitstempel seiner Uhr und sendet den aktualisierten Zeitstempel an andere Prozesse im System.</div>
Was ist der Zweck der Lamport-Uhr?	<div id='extra'>Der Zweck der Lamport-Uhr besteht darin, eine kausale Ordnung von Ereignissen in einem verteilten System zu bestimmen, um sicherzustellen, dass alle Prozesse im System dieselbe Reihenfolge von Ereignissen beobachten und um Konflikte bei gleichzeitigen Ereignissen zu vermeiden.</div>
Was ist eine Vektoruhr?	<div id='extra'>Eine Methode zur Bestimmung der Ordnung von Ereignissen in einem verteilten System, die eine Erweiterung der Lamport-Uhr darstellt.</div>
Wie funktioniert eine Vektoruhr?	<div id='extra'>Jeder Prozess im System hat einen Vektor von Zeitstempeln, der die Zeitstempel aller anderen Prozesse im System enthält. Wenn ein Ereignis auftritt, erhöht der Prozess den entsprechenden Eintrag in seinem Vektor und sendet den aktualisierten Vektor an andere Prozesse im System.</div>
Was ist der Zweck einer Vektoruhr?	<div id='extra'>Der Zweck einer Vektoruhr besteht darin, nicht nur die kausale Ordnung von Ereignissen in einem verteilten System zu bestimmen, sondern auch die vollständige Ordnung von Ereignissen zu ermöglichen, um Konflikte bei gleichzeitigen Ereignissen zu vermeiden und eine präzisere Synchronisation zwischen den Uhren der verschiedenen Prozesse zu erreichen.</div>
Was sind Conflict-Free Replicated Data Types (CRDTs)?	<div id='extra'>Eine Klasse von verteilten Datenstrukturen, die es ermöglichen, Replikationen von Daten in verteilten Systemen auf einfache Weise und ohne Koordination zu aktualisieren und zu synchronisieren.</div>
Wofür sind CRDTs besonders nützlich?	<div id='extra'>CRDTs sind besonders nützlich in Anwendungen, in denen es schwierig oder unpraktisch ist, eine globale Synchronisation oder Locking-Strategie einzusetzen.</div>
Was bedeutet Eventualkonsistenz im Zusammenhang mit CRDTs?	<div id='extra'>Eventualkonsistenz bedeutet, dass alle Replikationen des Datenbestands letztendlich den gleichen Zustand erreichen, solange keine weiteren Updates durchgeführt werden. CRDTs bieten eine starke Eventualkonsistenz.</div>
Was ist Locking in verteilten Systemen?	<div id='extra'>Locking ist eine weit verbreitete Technik zur Koordination von Zugriffen auf gemeinsam genutzte Ressourcen in verteilten Systemen, um Datenkonsistenz und Integrität zu gewährleisten.</div>
Wie funktioniert Locking?	<div id='extra'>Bei Locking werden Ressourcen gesperrt, um gleichzeitige Zugriffe und damit verbundene Inkonsistenzen zu vermeiden.</div>
Was sind die grundlegenden Konzepte und Herausforderungen bei der Verwendung von Locking-Verfahren in verteilten Systemen?	<div id='extra'>Der Abschnitt gibt eine Einführung in Locking-Verfahren in verteilten Systemen und diskutiert grundlegende Konzepte und Herausforderungen bei der Koordination von Zugriffen auf gemeinsam genutzte Ressourcen, wie z.B. die Wahl des richtigen Sperrmechanismus, die Vermeidung von Deadlocks und die Skalierbarkeit des Systems.</div>
Was ist eine RESTful API?	<div id='extra'>Eine Anwendungsprogrammierschnittstelle, die den Prinzipien der REST-Architektur folgt.</div>
Was bedeutet REST?	<div id='extra'>Representational State Transfer (REST) ist ein Architekturstil für verteilte Systeme wie das World Wide Web.</div>
Wie nutzen RESTful APIs HTTP-Methoden und Ressourcen?	<div id='extra'>RESTful APIs nutzen HTTP-Methoden und Ressourcen, um Create-Read-Update-Delete (CRUD)-Operationen in einem leichtgewichtigen, skalierbaren und verständlichen Format durchzuführen.</div>
Was sind CRUD-Operationen?	<div id='extra'>Create, Read, Update und Delete - die grundlegenden Operationen zur Verwaltung von Daten in einer Datenbank oder einem anderen Datenspeicher.</div>
Was sind die grundlegenden Prinzipien der REST-Architektur?	<div id='extra'>Die REST-Architektur definiert grundlegende Prinzipien und Einschränkungen, wie z.B. die Verwendung von eindeutigen Identifikatoren für Ressourcen, die Trennung von Client und Server sowie eine zustandslose Kommunikation zwischen Client und Server.</div>
Was sind die Vorteile von RESTful APIs?	<div id='extra'>Die Vorteile von RESTful APIs sind u.a. ihre Einfachheit, Skalierbarkeit und Interoperabilität sowie ihre Unterstützung für verschiedene Datenformate wie JSON oder XML.</div>
Wie unterscheiden sich SOAP-basierte APIs von RESTful APIs?	<div id='extra'>SOAP-basierte APIs verwenden ein XML-basiertes Nachrichtenformat und sind in der Regel komplexer und schwerer als RESTful APIs. RESTful APIs sind leichtgewichtiger und einfacher zu implementieren.</div>
Was ist HATEOAS?	<div id='extra'>HATEOAS (Hypermedia as the Engine of Application State) ist ein Konzept, das besagt, dass eine RESTful API Links zu anderen Ressourcen bereitstellen sollte, um die Navigation durch die API zu erleichtern.</div>
Was sind die Einschränkungen von RESTful APIs?	<div id='extra'>Die Einschränkungen von RESTful APIs sind u.a. ihre begrenzte Unterstützung für komplexe Transaktionen und ihre Abhängigkeit von der Netzwerklatenz.</div>
Was ist die Bedeutung der Konsensbildung?	<div id='extra'>Ein Prozess, bei dem eine Gruppe von Knoten in einem verteilten System eine gemeinsame Entscheidung trifft. </div>
Welche Rolle spielt die Konsensbildung in verteilten Systemen?	<div id='extra'>Gewährleistung der Konsistenz und Zuverlässigkeit der Daten und Operationen in einem verteilten System. </div>
Welche Herausforderungen gibt es bei der Konsensbildung?	<div id='extra'>Asynchronität, Netzwerkfehler und byzantinische Fehler können die Konsensbildung erschweren. </div>
Welche klassischen Anwendungen nutzen die Konsensbildung?	<div id='extra'>Datenbankreplikation, verteilte Dateisysteme und verteilte Transaktionen.</div>
Was ist eine Quorumsabstimmung?	<div id='extra'>Ein Verfahren, bei dem eine Mehrheit der Knoten in einem verteilten System zustimmen muss, um eine Entscheidung zu treffen. </div>
Wie funktioniert die Quorumsabstimmung?	<div id='extra'>Jeder Knoten hat eine Stimme, und eine vordefinierte Anzahl von Stimmen ist erforderlich, um eine Entscheidung zu treffen. </div>
Welche Vorteile bietet die Quorumsabstimmung?	<div id='extra'>Hohe Verfügbarkeit, Toleranz gegenüber Ausfällen und Skalierbarkeit in verteilten Systemen. </div>
Welche Nachteile hat die Quorumsabstimmung?	<div id='extra'>Mögliche Inkonsistenzen bei Netzwerkpartitionen und erhöhter Kommunikationsaufwand. </div>
Welche Anwendungen nutzen die Quorumsabstimmung?	<div id='extra'>Datenbankreplikation, verteilte Dateisysteme und verteilte Konsensalgorithmen. </div>
Was ist der Unterschied zwischen zentralen und dezentralen Systemen?	<div id='extra'>Zentrale Systeme haben eine zentrale Autorität, während dezentrale Systeme keine zentrale Autorität haben und Entscheidungen gemeinsam treffen. </div>
Welche Vor- und Nachteile haben zentrale Systeme?	<div id='extra'>Vorteile: Einfache Verwaltung und Kontrolle. Nachteile: Single Point of Failure, Skalierbarkeitsprobleme. </div>
Welche Vor- und Nachteile haben dezentrale Systeme?	<div id='extra'>Vorteile: Hohe Ausfallsicherheit, Skalierbarkeit. Nachteile: Schwierige Koordination und Konsensbildung. </div>
Welche Anwendungen nutzen zentrale Systeme?	<div id='extra'>Traditionelle Client-Server-Modelle, zentrale Datenbanken und zentrale Verwaltungssysteme. </div>
Welche Anwendungen nutzen dezentrale Systeme?	<div id='extra'>Peer-to-Peer-Netzwerke, Blockchain-Technologien und verteilte Konsensalgorithmen. </div>
Was ist ZooKeeper Atomic Broadcast (ZAB)?	<div id='extra'>Ein Protokoll zur Konsensbildung in zentralen Systemen, das von Apache ZooKeeper verwendet wird. </div>
Welche Rolle spielt ZAB in ZooKeeper?	<div id='extra'>ZAB ermöglicht die Replikation von Daten und die Synchronisierung von Zuständen in einem zentralen ZooKeeper-Cluster. </div>
Welche Garantien bietet ZAB?	<div id='extra'>Atomarität, Konsistenz und Reihenfolge der Operationen in einem zentralen ZooKeeper-Cluster. </div>
Welche Vorteile bietet ZAB in zentralen Systemen?	<div id='extra'>Hohe Verfügbarkeit, Fehlertoleranz und Konsistenz der Daten in einem verteilten ZooKeeper-Cluster. </div>
Was sind Blockchain-Mechanismen?	<div id='extra'>Dezentrale Mechanismen zur Konsensbildung und Speicherung von Transaktionen in einer verteilten Blockchain. </div>
Wie funktioniert eine Blockchain?	<div id='extra'>Transaktionen werden in Blöcken gesammelt, die miteinander verkettet und durch Kryptographie gesichert sind. </div>
Welche Rolle spielt der Konsens in einer Blockchain?	<div id='extra'>Konsensalgorithmen ermöglichen es den Teilnehmern, sich auf den Zustand der Blockchain zu einigen und Transaktionen zu validieren. </div>
Welche Vorteile bietet die Blockchain-Technologie?	<div id='extra'>Dezentralisierung, Transparenz, Sicherheit und Unveränderlichkeit der gespeicherten Daten. </div>
Welche Anwendungen nutzen Blockchain-Mechanismen?	<div id='extra'>Kryptowährungen wie Bitcoin, Smart Contracts, Supply Chain Management und digitale Identitätsverwaltung.</div>
Was sind Fehlerarten in verteilten Systemen?	<div id='extra'>Hardwarefehler, Softwarefehler, Netzwerkfehler und byzantinische Fehler.</div>
Was sind Hardwarefehler?	<div id='extra'>Defekte Komponenten, Ausfälle von Festplatten oder Speichermodulen.</div>
Was sind Softwarefehler?	<div id='extra'>Programmfehler, logische Fehler oder fehlerhafte Konfigurationen.</div>
Was sind Netzwerkfehler?	<div id='extra'>Verbindungsabbrüche, Latenzprobleme oder Paketverluste.</div>
Was sind byzantinische Fehler?	<div id='extra'>Bösartige oder fehlerhafte Verhaltensweisen von Knoten im System.</div>
Was sind Fehlermodelle in verteilten Systemen?	<div id='extra'>Abstrakte Modelle, die verschiedene Arten von Fehlern und deren Auswirkungen beschreiben.</div>
Was ist das Crash-Fehlermodell?	<div id='extra'>Knoten können ausfallen und ihre Berechnungen stoppen.</div>
Was ist das Byzantinische Fehlermodell?	<div id='extra'>Knoten können fehlerhaftes oder bösartiges Verhalten zeigen.</div>
Was ist das Partitionierungsfehlermodell?	<div id='extra'>Das Netzwerk kann in Partitionen aufgeteilt werden, wodurch die Kommunikation zwischen den Partitionen gestört wird.</div>
Was ist das Synchronisationsfehlermodell?	<div id='extra'>Die Uhren der Knoten können unterschiedlich gehen oder es kann zu Verzögerungen bei der Nachrichtenübermittlung kommen.</div>
Was ist Redundanz in verteilten Systemen?	<div id='extra'>Die Verwendung zusätzlicher Ressourcen oder Kopien von Daten zur Verbesserung der Zuverlässigkeit und Verfügbarkeit.</div>
Was ist Datenredundanz?	<div id='extra'>Die Speicherung von mehreren Kopien von Daten, um Datenverlust bei Ausfällen zu vermeiden.</div>
Was ist Ressourcenredundanz?	<div id='extra'>Die Bereitstellung zusätzlicher Ressourcen, um Ausfälle von Komponenten oder Knoten abzufangen.</div>
Was ist Rechenredundanz?	<div id='extra'>Die Verwendung mehrerer Knoten oder Prozessoren, um parallele Berechnungen durchzuführen und Ausfälle zu kompensieren.</div>
Was ist Netzwerkredundanz?	<div id='extra'>Die Verwendung mehrerer Netzwerkpfade oder Verbindungen, um Ausfälle oder Engpässe im Netzwerk zu umgehen.</div>
Was sind die Vorteile von Redundanz?	<div id='extra'>Verbesserte Ausfallsicherheit, erhöhte Verfügbarkeit und bessere Skalierbarkeit des Systems.</div>
